project_type,area_hectares,duration_years,baseline_emissions,expected_emission_reduction,location,emission_factor,carbon_credits_generated
wind_energy,0.0,15,5324.56,194.44,Goa,0.0,2917
wetland_restoration,0.0,5,3336.3,770.9,Chhattisgarh,0.0,3855
geothermal_energy,0.0,19,8485.55,818.16,Goa,0.0,15545
reforestation,37.87,8,7588.66,136.21,Uttarakhand,4.1,1090
biochar_production,13.35,5,1232.42,139.29,Assam,2.4,696
wetland_restoration,167.83,10,0.0,0.0,Sikkim,9.84,16518
biochar_production,0.0,14,10963.04,1000.59,Odisha,0.0,14008
solar_power,0.0,6,1370.65,703.35,Maharashtra,0.0,4220
geothermal_energy,321.85,12,0.0,0.0,Bihar,7.95,30687
carbon_sequestration,301.44,10,0.0,0.0,Karnataka,7.32,22054
geothermal_energy,275.24,19,0.0,0.0,Lakshadweep,7.96,41644
geothermal_energy,47.42,12,2458.56,203.06,Puducherry,1.75,2437
carbon_sequestration,0.0,19,3041.49,1094.82,Jharkhand,0.0,20802
carbon_sequestration,30.28,8,1702.26,60.19,Meghalaya,2.07,482
wetland_restoration,368.48,16,0.0,0.0,West Bengal,3.57,21056
afforestation,30.07,10,1698.2,203.94,Nagaland,1.8,2039
wetland_restoration,48.82,7,955.29,247.42,Tripura,1.17,1732
electric_mobility,0.0,11,2567.6,361.67,Chandigarh,0.0,3978
methane_capture,362.41,10,0.0,0.0,Meghalaya,4.6,16668
afforestation,0.0,20,9052.22,693.28,Sikkim,0.0,13866
solar_power,0.0,16,2795.88,712.21,Meghalaya,0.0,11395
carbon_sequestration,215.02,17,0.0,0.0,Uttarakhand,4.43,16175
methane_capture,236.69,11,0.0,0.0,Karnataka,9.08,23635
electric_mobility,44.51,19,5401.35,467.68,Andhra Pradesh,4.38,8886
wetland_restoration,98.83,18,7069.22,389.34,Andhra Pradesh,1.16,7008
sustainable_agriculture,2.44,8,2015.47,199.43,Jammu and Kashmir,1.29,1595
wind_energy,45.06,8,5146.45,556.18,Puducherry,2.11,4449
electric_mobility,41.47,16,6851.99,217.9,Haryana,2.86,3486
wind_energy,0.0,14,11305.72,1109.03,Goa,0.0,15526
wetland_restoration,65.09,11,4588.31,306.52,Jammu and Kashmir,2.49,3372
geothermal_energy,0.0,10,5430.5,322.51,Assam,0.0,3225
reforestation,208.46,16,0.0,0.0,Andaman and Nicobar Islands,7.15,23849
reforestation,18.6,11,908.81,147.77,Tripura,1.69,1625
afforestation,205.53,13,0.0,0.0,Nagaland,9.01,24063
afforestation,0.0,9,3926.71,796.13,West Bengal,0.0,7165
geothermal_energy,204.36,12,0.0,0.0,Jharkhand,4.66,11426
carbon_sequestration,27.42,19,2188.31,359.89,Andhra Pradesh,1.29,6838
wind_energy,0.0,14,7024.51,231.18,Uttar Pradesh,0.0,3237
methane_capture,13.19,9,2266.94,91.76,Bihar,1.73,826
methane_capture,0.0,8,4414.23,644.98,Telangana,0.0,5160
solar_power,335.26,19,0.0,0.0,Chandigarh,6.32,40274
biochar_production,72.01,5,7049.51,379.07,Bihar,2.79,1895
wetland_restoration,15.63,15,1399.61,365.58,Maharashtra,2.08,5484
sustainable_agriculture,0.0,8,1465.27,676.0,Arunachal Pradesh,0.0,5408
wind_energy,47.96,7,3213.09,353.62,Arunachal Pradesh,4.74,2475
afforestation,347.22,18,0.0,0.0,Uttar Pradesh,5.78,36135
biochar_production,0.0,6,14546.54,204.94,Mizoram,0.0,1230
sustainable_agriculture,0.0,6,6200.7,1173.1,Manipur,0.0,7039
carbon_sequestration,0.0,11,7911.62,715.6,Himachal Pradesh,0.0,7872
carbon_sequestration,37.55,6,1880.19,166.36,Himachal Pradesh,3.13,998
wind_energy,35.53,8,2183.58,292.48,Punjab,0.9,2340
wetland_restoration,0.0,5,7577.47,240.55,Uttarakhand,0.0,1203
biochar_production,0.0,10,13285.85,377.15,Maharashtra,0.0,3772
carbon_sequestration,0.0,6,10601.22,1178.63,Uttarakhand,0.0,7072
wind_energy,0.0,15,7149.23,547.46,Gujarat,0.0,8212
wind_energy,83.93,5,6379.64,156.55,Maharashtra,4.46,783
geothermal_energy,34.79,13,1039.19,214.72,Nagaland,1.85,2791
wetland_restoration,33.68,9,1371.43,89.82,Haryana,1.65,808
solar_power,3.36,20,1517.27,267.69,Lakshadweep,2.45,5354
electric_mobility,54.34,13,0.0,0.0,Telangana,5.02,3547
wind_energy,0.0,15,8906.64,463.73,Karnataka,0.0,6956
carbon_sequestration,46.36,18,2753.44,269.47,Punjab,1.38,4851
afforestation,0.0,11,7662.58,1017.83,Punjab,0.0,11196
green_building,0.0,12,5859.3,849.07,West Bengal,0.0,10189
afforestation,16.9,9,1490.43,223.87,Himachal Pradesh,1.23,2015
biochar_production,57.11,16,4819.81,322.21,Delhi,3.39,5155
biochar_production,0.0,10,1658.76,643.1,Manipur,0.0,6431
electric_mobility,0.0,18,10353.49,959.34,Ladakh,0.0,17268
wetland_restoration,0.0,13,6937.22,1063.33,Uttar Pradesh,0.0,13823
geothermal_energy,425.11,20,0.0,0.0,Chhattisgarh,9.4,79918
solar_power,17.72,17,1497.06,195.04,Meghalaya,1.26,3316
electric_mobility,243.58,16,0.0,0.0,Punjab,5.76,22451
biochar_production,40.84,11,2888.81,54.56,Goa,1.94,600
reforestation,22.11,11,678.2,288.67,Assam,2.29,3175
sustainable_agriculture,0.0,8,14051.45,260.27,Delhi,0.0,2082
carbon_sequestration,24.48,9,915.83,204.34,Sikkim,0.89,1839
afforestation,14.96,9,2507.56,184.79,Mizoram,1.11,1663
geothermal_energy,0.0,20,3165.14,917.64,Telangana,0.0,18353
reforestation,0.0,6,5544.11,613.55,Dadra and Nagar Haveli and Daman and Diu,0.0,3681
afforestation,266.02,13,0.0,0.0,Tamil Nadu,3.86,13358
biochar_production,22.24,16,5963.32,153.44,Delhi,3.1,2455
methane_capture,100.76,14,0.0,0.0,Lakshadweep,9.42,13294
solar_power,0.0,8,5351.91,825.39,Andhra Pradesh,0.0,6603
sustainable_agriculture,19.3,5,780.76,50.65,Haryana,1.55,253
reforestation,0.0,10,12649.46,1084.21,Himachal Pradesh,0.0,10842
carbon_sequestration,80.41,13,2223.41,280.39,West Bengal,3.59,3645
afforestation,0.0,14,9100.21,418.08,Kerala,0.0,5853
afforestation,135.27,14,0.0,0.0,Telangana,5.11,9685
green_building,0.0,12,12693.99,623.74,Karnataka,0.0,7485
afforestation,0.0,14,8285.77,789.99,Andaman and Nicobar Islands,0.0,11060
wind_energy,47.92,14,2176.1,468.44,Madhya Pradesh,3.35,6558
green_building,24.17,6,946.11,128.07,Punjab,1.57,768
geothermal_energy,62.67,7,2623.63,295.45,Meghalaya,3.19,2068
geothermal_energy,10.55,17,2921.78,398.52,Karnataka,1.57,6775
geothermal_energy,0.0,6,4638.87,485.38,Karnataka,0.0,2912
wind_energy,365.01,11,0.0,0.0,Andaman and Nicobar Islands,3.11,12490
carbon_sequestration,72.91,12,0.0,0.0,Karnataka,3.73,3263
sustainable_agriculture,0.0,14,6383.95,1105.52,Uttar Pradesh,0.0,15477
green_building,48.92,17,0.0,0.0,Jharkhand,3.6,2993
biochar_production,30.19,5,1417.39,135.89,Andhra Pradesh,1.3,679
methane_capture,4.4,11,669.03,250.09,Andhra Pradesh,1.54,2751
carbon_sequestration,0.0,15,6761.51,344.03,Haryana,0.0,5160
sustainable_agriculture,66.83,12,3270.34,266.5,Jharkhand,3.13,3198
wind_energy,35.65,10,0.0,0.0,Jharkhand,5.65,2014
reforestation,28.33,10,1663.01,65.04,Haryana,1.96,650
methane_capture,5.35,16,2087.4,238.71,Lakshadweep,2.42,3819
carbon_sequestration,272.56,11,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,3.68,11023
green_building,412.69,13,0.0,0.0,Maharashtra,3.01,16141
methane_capture,0.0,20,6984.21,815.9,Bihar,0.0,16318
sustainable_agriculture,0.0,20,4442.74,207.85,Jammu and Kashmir,0.0,4157
electric_mobility,19.48,7,7489.01,369.98,Jammu and Kashmir,4.97,2590
wind_energy,33.91,13,1142.62,246.98,Kerala,0.69,3211
biochar_production,0.0,20,2149.42,843.46,Himachal Pradesh,0.0,16869
sustainable_agriculture,8.81,10,794.12,106.84,Puducherry,0.63,1068
wind_energy,18.65,17,2842.39,188.45,Kerala,0.68,3204
carbon_sequestration,0.0,15,8427.57,351.73,Arunachal Pradesh,0.0,5276
methane_capture,62.06,14,7435.74,348.48,Tamil Nadu,3.06,4879
wetland_restoration,0.0,10,6099.18,451.94,Chandigarh,0.0,4519
carbon_sequestration,46.6,16,2543.62,145.16,Andhra Pradesh,0.73,2322
green_building,55.59,12,1988.95,205.99,Arunachal Pradesh,3.89,2472
carbon_sequestration,49.65,18,0.0,0.0,Haryana,5.82,5202
wetland_restoration,8.54,6,2893.31,193.26,Jammu and Kashmir,0.95,1160
wind_energy,83.14,14,7034.1,561.38,Jammu and Kashmir,1.53,7859
solar_power,18.22,18,6805.33,258.77,Tamil Nadu,4.59,4658
biochar_production,20.53,7,1418.84,67.04,Nagaland,0.79,469
wind_energy,0.0,6,5554.97,309.3,Kerala,0.0,1856
reforestation,0.0,17,5945.77,969.24,Lakshadweep,0.0,16477
carbon_sequestration,0.0,20,9725.78,1136.45,Haryana,0.0,22729
methane_capture,0.0,8,7713.65,305.66,Tamil Nadu,0.0,2445
carbon_sequestration,0.0,10,2004.32,217.69,Andaman and Nicobar Islands,0.0,2177
afforestation,0.0,6,10452.61,352.02,Telangana,0.0,2112
green_building,58.62,7,2482.29,342.3,Karnataka,1.77,2396
electric_mobility,38.31,6,0.0,0.0,Assam,7.87,1808
electric_mobility,0.0,13,7594.38,370.66,Jharkhand,0.0,4819
afforestation,0.0,9,3578.0,503.28,Meghalaya,0.0,4529
sustainable_agriculture,21.89,7,5326.36,416.59,Sikkim,3.77,2916
reforestation,82.33,12,3143.78,411.95,Rajasthan,3.46,4943
reforestation,0.0,16,8632.14,751.89,Goa,0.0,12030
geothermal_energy,89.23,9,2362.36,283.88,Himachal Pradesh,2.8,2555
solar_power,24.6,16,1467.7,290.96,Tripura,0.85,4655
reforestation,21.39,11,547.98,114.95,Delhi,1.46,1264
geothermal_energy,34.37,14,2047.37,130.88,Haryana,0.88,1832
biochar_production,27.91,14,6610.76,579.79,Andaman and Nicobar Islands,4.9,8117
reforestation,40.28,8,5522.63,349.67,West Bengal,2.06,2797
carbon_sequestration,0.0,20,3275.07,688.24,Meghalaya,0.0,13765
solar_power,433.68,8,0.0,0.0,Meghalaya,4.7,16322
solar_power,50.22,6,3761.33,329.72,Assam,2.5,1978
reforestation,0.0,9,9606.0,219.83,Maharashtra,0.0,1978
afforestation,0.0,20,8082.13,383.87,Lakshadweep,0.0,7677
wetland_restoration,81.84,5,2955.57,565.16,Himachal Pradesh,1.31,2826
carbon_sequestration,0.0,20,13722.91,661.48,Lakshadweep,0.0,13230
geothermal_energy,0.0,15,8440.88,586.35,Punjab,0.0,8795
sustainable_agriculture,0.0,10,10276.71,813.93,Telangana,0.0,8139
wind_energy,23.08,16,764.23,297.07,Tripura,2.26,4753
geothermal_energy,34.33,11,711.98,229.08,Chandigarh,0.58,2520
geothermal_energy,403.04,17,0.0,0.0,Gujarat,3.74,25609
carbon_sequestration,0.0,5,14434.52,937.51,Manipur,0.0,4688
wind_energy,48.88,14,7795.25,571.16,Haryana,4.97,7996
afforestation,100.75,7,0.0,0.0,West Bengal,4.22,2975
wetland_restoration,0.0,9,5946.54,847.48,Jharkhand,0.0,7627
electric_mobility,0.0,12,3385.42,118.85,Lakshadweep,0.0,1426
reforestation,26.22,20,2456.21,106.96,Madhya Pradesh,2.3,2139
carbon_sequestration,41.28,13,1849.7,407.51,Dadra and Nagar Haveli and Daman and Diu,1.82,5298
carbon_sequestration,43.93,18,0.0,0.0,Goa,9.72,7686
solar_power,0.0,11,2545.37,1168.49,Manipur,0.0,12853
electric_mobility,0.0,9,3628.04,674.34,Arunachal Pradesh,0.0,6069
wind_energy,0.0,6,6416.93,624.18,Rajasthan,0.0,3745
sustainable_agriculture,54.47,19,2096.47,121.87,Kerala,3.47,2315
methane_capture,464.76,5,0.0,0.0,Sikkim,4.57,10625
geothermal_energy,0.0,13,6887.91,750.09,Gujarat,0.0,9751
biochar_production,0.0,14,6516.46,948.77,Gujarat,0.0,13283
afforestation,0.0,18,9354.86,708.38,Kerala,0.0,12751
solar_power,44.46,7,1214.77,253.99,Mizoram,1.79,1778
solar_power,0.0,11,13430.49,458.43,Rajasthan,0.0,5043
green_building,0.0,19,5279.13,955.04,Ladakh,0.0,18146
solar_power,489.41,9,0.0,0.0,Tamil Nadu,8.24,36283
reforestation,390.46,18,0.0,0.0,West Bengal,7.59,53367
solar_power,16.68,15,1173.33,184.89,Chandigarh,2.01,2773
sustainable_agriculture,90.76,17,0.0,0.0,Sikkim,3.92,6051
sustainable_agriculture,55.02,19,0.0,0.0,Himachal Pradesh,9.76,10198
wind_energy,0.0,19,5552.67,856.63,Tripura,0.0,16276
wetland_restoration,21.26,17,2358.56,202.99,Bihar,2.02,3451
wetland_restoration,286.86,10,0.0,0.0,Lakshadweep,7.82,22439
wind_energy,59.83,11,4036.6,180.42,Dadra and Nagar Haveli and Daman and Diu,4.51,1985
electric_mobility,1.46,14,2316.15,297.95,Uttarakhand,0.99,4171
wetland_restoration,23.43,12,5602.92,255.46,Tamil Nadu,4.52,3066
geothermal_energy,369.2,9,0.0,0.0,Puducherry,7.31,24296
green_building,347.06,15,0.0,0.0,Puducherry,5.63,29293
reforestation,0.0,13,9204.94,205.23,Jharkhand,0.0,2668
wetland_restoration,0.0,14,12919.53,1032.68,Andaman and Nicobar Islands,0.0,14458
afforestation,24.24,18,3575.59,263.47,Sikkim,4.83,4742
biochar_production,84.99,7,4514.35,162.36,Haryana,2.88,1136
reforestation,47.62,19,7203.37,396.52,Rajasthan,3.89,7534
biochar_production,0.0,9,10619.55,201.88,Uttarakhand,0.0,1817
wind_energy,5.31,11,3488.45,497.1,West Bengal,3.48,5468
wetland_restoration,0.0,8,4620.94,886.84,Goa,0.0,7095
solar_power,66.02,17,5059.89,380.74,Madhya Pradesh,1.26,6473
biochar_production,35.87,8,0.0,0.0,Chhattisgarh,6.41,1839
biochar_production,81.47,18,6775.35,349.13,Assam,2.08,6284
solar_power,0.0,18,3937.0,895.42,West Bengal,0.0,16117
carbon_sequestration,0.0,16,8064.07,736.91,Madhya Pradesh,0.0,11791
electric_mobility,0.0,19,12726.7,720.3,Mizoram,0.0,13686
solar_power,19.01,17,4038.14,144.3,Gujarat,2.31,2453
methane_capture,10.94,8,6366.12,466.81,Assam,4.21,3734
reforestation,0.0,10,6783.09,479.12,Andaman and Nicobar Islands,0.0,4791
carbon_sequestration,0.0,8,5465.5,260.43,Tamil Nadu,0.0,2083
carbon_sequestration,0.0,19,4689.14,855.82,Sikkim,0.0,16261
reforestation,0.0,15,7659.88,955.28,Andhra Pradesh,0.0,14329
wind_energy,0.0,9,4398.19,562.24,Rajasthan,0.0,5060
solar_power,0.0,6,2487.65,730.23,Uttarakhand,0.0,4381
methane_capture,417.53,18,0.0,0.0,Uttar Pradesh,4.91,36913
wetland_restoration,0.0,5,14085.02,982.58,Assam,0.0,4913
solar_power,137.06,7,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,6.01,5764
methane_capture,40.81,7,4366.34,317.59,Andaman and Nicobar Islands,2.85,2223
geothermal_energy,24.67,20,701.5,231.98,Dadra and Nagar Haveli and Daman and Diu,0.77,4640
reforestation,455.6,6,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,8.46,23130
wetland_restoration,77.72,8,5271.58,167.68,Himachal Pradesh,1.64,1341
reforestation,462.09,19,0.0,0.0,Arunachal Pradesh,6.3,55350
solar_power,11.55,9,2975.31,230.85,Puducherry,1.23,2078
methane_capture,0.0,7,3480.51,808.41,Punjab,0.0,5659
afforestation,143.26,14,0.0,0.0,Haryana,8.32,16678
reforestation,42.39,14,890.95,263.27,Telangana,1.04,3686
solar_power,0.0,15,2814.49,1106.44,Madhya Pradesh,0.0,16597
wetland_restoration,179.5,13,0.0,0.0,Uttar Pradesh,5.21,12149
geothermal_energy,0.0,15,6515.46,1099.83,Andaman and Nicobar Islands,0.0,16498
reforestation,74.58,6,1895.92,541.07,Tamil Nadu,3.19,3246
wind_energy,0.0,9,1470.32,476.91,Uttarakhand,0.0,4292
wetland_restoration,31.6,20,2948.88,86.24,Sikkim,1.49,1725
wind_energy,107.07,11,0.0,0.0,Punjab,6.96,8194
electric_mobility,161.26,7,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,9.63,10870
sustainable_agriculture,0.0,16,6543.58,314.1,Ladakh,0.0,5026
carbon_sequestration,0.0,6,7480.07,476.19,Mizoram,0.0,2857
reforestation,85.81,13,4663.74,157.38,Tamil Nadu,3.24,2046
biochar_production,207.95,6,0.0,0.0,Chandigarh,6.8,8482
wetland_restoration,0.0,11,11201.86,743.54,Andaman and Nicobar Islands,0.0,8179
geothermal_energy,120.81,10,0.0,0.0,Bihar,8.93,10787
green_building,91.23,14,0.0,0.0,Karnataka,9.62,12287
carbon_sequestration,11.59,20,2654.97,165.04,Nagaland,0.7,3301
afforestation,277.26,11,0.0,0.0,Uttarakhand,3.44,10479
reforestation,64.85,12,0.0,0.0,Haryana,5.49,4274
electric_mobility,3.55,7,1003.41,114.66,Tamil Nadu,2.07,803
reforestation,27.7,8,2385.27,54.49,Karnataka,2.02,436
geothermal_energy,0.0,12,8900.47,891.62,Manipur,0.0,10699
green_building,0.0,16,5321.41,1146.64,Kerala,0.0,18346
solar_power,0.0,12,14804.87,972.01,Arunachal Pradesh,0.0,11664
electric_mobility,280.73,19,0.0,0.0,Ladakh,3.66,19517
geothermal_energy,455.52,7,0.0,0.0,Delhi,6.77,21590
biochar_production,0.0,8,12378.47,571.93,Andaman and Nicobar Islands,0.0,4575
geothermal_energy,0.0,11,8398.93,442.38,Kerala,0.0,4866
methane_capture,226.13,7,0.0,0.0,Rajasthan,4.37,6916
geothermal_energy,0.0,16,8803.29,487.14,Dadra and Nagar Haveli and Daman and Diu,0.0,7794
electric_mobility,0.0,16,11847.26,476.44,Lakshadweep,0.0,7623
green_building,80.8,12,7405.63,366.51,West Bengal,2.58,4398
afforestation,229.33,14,0.0,0.0,Assam,6.9,22168
reforestation,16.52,6,2765.36,119.23,Jharkhand,2.21,715
carbon_sequestration,258.46,12,0.0,0.0,Chhattisgarh,7.19,22290
methane_capture,22.5,11,5580.05,176.05,Kerala,4.58,1937
geothermal_energy,0.0,8,12381.71,1167.76,Rajasthan,0.0,9342
geothermal_energy,0.0,7,8941.75,823.24,Chandigarh,0.0,5763
afforestation,0.0,18,6155.67,1188.42,Goa,0.0,21391
wind_energy,98.49,17,5442.7,182.98,Chandigarh,3.67,3111
biochar_production,49.01,10,824.57,221.72,Chhattisgarh,1.81,2217
methane_capture,26.84,7,2725.65,69.85,Gujarat,1.94,489
electric_mobility,0.0,9,9761.12,403.16,Himachal Pradesh,0.0,3628
methane_capture,0.0,13,12647.83,740.79,Nagaland,0.0,9630
carbon_sequestration,382.2,7,0.0,0.0,Bihar,9.92,26530
carbon_sequestration,41.26,6,1394.5,173.55,Nagaland,1.42,1041
reforestation,44.11,7,1110.85,78.24,Goa,1.55,548
reforestation,14.56,14,1993.8,273.97,Mizoram,1.96,3836
carbon_sequestration,103.72,19,0.0,0.0,Tamil Nadu,7.3,14379
methane_capture,0.0,11,10072.07,552.37,Jammu and Kashmir,0.0,6076
solar_power,405.04,9,0.0,0.0,Punjab,8.91,32466
methane_capture,65.24,15,5733.24,262.55,Sikkim,1.51,3938
geothermal_energy,11.87,12,0.0,0.0,Assam,7.77,1107
wetland_restoration,0.0,10,13124.58,427.18,Andhra Pradesh,0.0,4272
green_building,0.0,12,1654.04,169.37,Meghalaya,0.0,2032
solar_power,0.0,7,11023.96,712.65,Dadra and Nagar Haveli and Daman and Diu,0.0,4989
afforestation,18.66,10,2407.89,152.08,Ladakh,0.64,1521
methane_capture,0.0,8,9444.74,884.08,Andhra Pradesh,0.0,7073
reforestation,0.0,11,12496.15,259.09,Assam,0.0,2850
geothermal_energy,0.0,19,3342.58,916.48,Jammu and Kashmir,0.0,17413
geothermal_energy,10.09,15,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,4.18,633
electric_mobility,22.91,6,2661.41,186.66,Madhya Pradesh,1.42,1120
carbon_sequestration,0.0,7,4714.85,822.12,Assam,0.0,5755
green_building,0.0,15,4802.94,137.82,Jammu and Kashmir,0.0,2067
green_building,7.58,12,1892.18,453.84,Chhattisgarh,4.86,5446
electric_mobility,0.0,18,13840.01,953.96,Andhra Pradesh,0.0,17171
afforestation,0.0,13,12912.99,1181.8,Manipur,0.0,15363
wind_energy,0.0,18,11446.72,504.75,Delhi,0.0,9086
wetland_restoration,0.0,11,8924.79,835.09,Haryana,0.0,9186
methane_capture,15.7,8,4784.89,148.27,Chandigarh,3.81,1186
green_building,0.0,18,2599.61,767.17,Kerala,0.0,13809
wetland_restoration,0.0,8,5916.45,798.36,Meghalaya,0.0,6387
green_building,12.09,7,1997.02,66.12,Goa,1.96,463
electric_mobility,427.61,16,0.0,0.0,Tripura,7.67,52508
electric_mobility,0.0,18,4063.65,990.13,Telangana,0.0,17822
wind_energy,48.69,19,0.0,0.0,Maharashtra,4.68,4327
wind_energy,149.79,5,0.0,0.0,Puducherry,6.0,4497
reforestation,0.0,15,14940.69,1055.7,Haryana,0.0,15835
carbon_sequestration,33.28,19,1050.56,172.09,Andaman and Nicobar Islands,1.0,3270
biochar_production,0.0,9,1844.72,918.66,Bihar,0.0,8268
wetland_restoration,0.0,8,13291.17,264.69,Mizoram,0.0,2118
methane_capture,29.02,20,1576.07,129.24,Kerala,1.53,2585
wetland_restoration,23.76,16,1352.04,91.21,Assam,0.78,1459
wetland_restoration,307.47,10,0.0,0.0,Tamil Nadu,7.42,22812
green_building,396.51,8,0.0,0.0,Kerala,7.48,23719
solar_power,0.0,11,8660.73,304.22,Jharkhand,0.0,3346
wind_energy,39.55,10,1156.69,117.89,West Bengal,2.44,1179
afforestation,0.0,15,11666.72,706.27,Dadra and Nagar Haveli and Daman and Diu,0.0,10594
carbon_sequestration,43.66,11,1020.45,119.88,Puducherry,4.57,1319
geothermal_energy,0.0,10,1410.84,226.02,Andhra Pradesh,0.0,2260
geothermal_energy,49.62,16,4310.8,411.26,Sikkim,2.8,6580
afforestation,0.0,18,9940.14,480.68,Sikkim,0.0,8652
wind_energy,61.13,12,6978.95,124.75,Odisha,3.15,1497
reforestation,0.0,12,1330.49,197.22,Puducherry,0.0,2367
afforestation,23.68,14,1046.27,149.2,Assam,1.38,2089
wind_energy,93.52,10,1609.65,408.53,Goa,2.59,4085
reforestation,0.0,12,5784.4,891.88,Meghalaya,0.0,10703
geothermal_energy,43.84,11,2255.65,298.2,Telangana,1.49,3280
solar_power,0.0,17,14082.55,365.2,Maharashtra,0.0,6208
biochar_production,216.7,12,0.0,0.0,Karnataka,5.88,15283
electric_mobility,0.0,12,7038.49,332.36,Odisha,0.0,3988
methane_capture,161.59,17,0.0,0.0,Jammu and Kashmir,8.77,24082
solar_power,0.0,11,14402.43,921.39,Telangana,0.0,10135
carbon_sequestration,0.0,13,10273.22,251.14,Uttarakhand,0.0,3265
geothermal_energy,41.65,17,2678.99,114.17,Andaman and Nicobar Islands,0.58,1941
wind_energy,0.0,8,6989.91,656.24,Bihar,0.0,5250
wetland_restoration,0.0,6,3199.7,796.32,Mizoram,0.0,4778
biochar_production,0.0,12,7760.6,163.91,Manipur,0.0,1967
solar_power,0.0,14,6174.05,949.85,Bihar,0.0,13298
sustainable_agriculture,68.51,6,3533.44,396.83,Nagaland,3.71,2381
methane_capture,256.06,14,0.0,0.0,Andhra Pradesh,3.97,14239
reforestation,310.16,13,0.0,0.0,Uttar Pradesh,9.12,36756
biochar_production,0.0,8,10292.4,940.98,Dadra and Nagar Haveli and Daman and Diu,0.0,7528
sustainable_agriculture,4.26,17,855.34,52.93,Bihar,1.57,900
electric_mobility,0.0,18,8922.41,648.85,Uttar Pradesh,0.0,11679
wetland_restoration,59.83,11,1861.02,379.32,Rajasthan,1.17,4173
green_building,23.86,19,668.46,146.85,Tripura,2.13,2790
wind_energy,22.07,15,1188.45,126.58,Lakshadweep,1.85,1899
electric_mobility,0.0,14,6312.57,303.65,Dadra and Nagar Haveli and Daman and Diu,0.0,4251
wetland_restoration,412.99,20,0.0,0.0,Manipur,9.0,74362
sustainable_agriculture,0.0,19,7834.16,188.99,Goa,0.0,3591
afforestation,295.28,15,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,5.6,24795
wind_energy,23.44,13,0.0,0.0,Uttarakhand,5.75,1752
reforestation,19.35,12,1576.32,85.65,Himachal Pradesh,0.83,1028
reforestation,0.0,12,7857.16,951.98,Himachal Pradesh,0.0,11424
green_building,0.0,7,2330.82,845.82,Haryana,0.0,5921
electric_mobility,0.0,16,1060.39,447.29,Nagaland,0.0,7157
biochar_production,0.0,15,7325.18,511.22,Mizoram,0.0,7668
sustainable_agriculture,0.0,10,8624.26,577.98,Meghalaya,0.0,5780
sustainable_agriculture,116.77,20,0.0,0.0,Telangana,9.92,23158
carbon_sequestration,6.16,5,2930.06,107.12,Arunachal Pradesh,0.83,536
reforestation,25.77,12,1460.52,59.75,Delhi,2.43,717
methane_capture,0.0,10,14033.29,614.15,Tamil Nadu,0.0,6142
sustainable_agriculture,21.44,7,0.0,0.0,Tripura,8.29,1245
biochar_production,51.35,19,6848.36,285.2,West Bengal,1.52,5419
solar_power,163.84,16,0.0,0.0,Chhattisgarh,9.22,24167
biochar_production,99.51,8,1617.41,403.44,Andaman and Nicobar Islands,3.18,3228
wetland_restoration,0.0,18,7063.26,585.51,Gujarat,0.0,10539
sustainable_agriculture,0.0,20,12056.01,1180.11,Chandigarh,0.0,23602
wetland_restoration,0.0,13,5983.4,587.53,Tamil Nadu,0.0,7638
reforestation,28.46,10,3493.3,513.41,Meghalaya,4.35,5134
methane_capture,10.54,17,1356.12,117.56,Arunachal Pradesh,0.62,1999
methane_capture,417.04,16,0.0,0.0,Nagaland,6.81,45466
wind_energy,0.0,5,9546.08,339.2,Andaman and Nicobar Islands,0.0,1696
electric_mobility,0.0,7,2354.69,835.08,Manipur,0.0,5846
carbon_sequestration,206.87,8,0.0,0.0,West Bengal,9.96,16478
sustainable_agriculture,0.0,16,5906.36,525.82,Goa,0.0,8413
electric_mobility,63.96,12,3765.96,119.73,Nagaland,1.81,1437
methane_capture,0.0,5,11241.5,1106.94,Meghalaya,0.0,5535
sustainable_agriculture,482.37,19,0.0,0.0,Gujarat,9.37,85842
wind_energy,183.2,15,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,6.21,17063
biochar_production,7.4,10,812.05,248.55,Andaman and Nicobar Islands,2.08,2486
carbon_sequestration,23.87,8,2924.02,287.28,Andhra Pradesh,0.57,2298
solar_power,98.19,14,7044.83,394.37,Nagaland,2.93,5521
sustainable_agriculture,250.79,14,0.0,0.0,Tamil Nadu,6.66,23374
green_building,38.33,18,1778.19,173.08,Lakshadweep,1.27,3115
afforestation,36.56,6,1639.95,160.86,Delhi,2.29,965
methane_capture,38.46,19,2890.12,100.12,Dadra and Nagar Haveli and Daman and Diu,1.65,1902
afforestation,3.91,13,2100.5,124.61,Assam,0.51,1620
reforestation,0.0,12,1562.12,895.12,Punjab,0.0,10741
electric_mobility,7.93,15,2545.22,467.01,Meghalaya,4.89,7005
afforestation,243.65,6,0.0,0.0,Andaman and Nicobar Islands,7.81,11424
electric_mobility,437.3,15,0.0,0.0,Maharashtra,6.69,43887
sustainable_agriculture,15.67,20,2511.09,119.69,Tamil Nadu,1.22,2394
